Label,precision,recall,f1-score,support
A,0.46543778801843316,0.6917808219178082,0.5564738292011019,146.0
B,0.5420289855072464,0.53125,0.5365853658536586,352.0
C,0.7142857142857143,0.5506216696269982,0.6218655967903711,563.0
D,0.6472081218274112,0.7750759878419453,0.7053941908713693,329.0
accuracy,0.6136690647482015,0.6136690647482015,0.6136690647482015,0.6136690647482015
macro avg,0.5922401524097013,0.6371821198466879,0.6050797456791253,1390.0
weighted avg,0.6286492440095809,0.6136690647482015,0.6131714011751856,1390.0
