Label,precision,recall,f1-score,support
A,0.46443514644351463,0.7602739726027398,0.5766233766233766,146.0
B,0.535031847133758,0.4772727272727273,0.5045045045045045,352.0
C,0.6818181818181818,0.5595026642984015,0.6146341463414634,563.0
D,0.688,0.78419452887538,0.7329545454545454,329.0
accuracy,0.6129496402877698,0.6129496402877698,0.6129496402877698,0.6129496402877698
macro avg,0.5923212938488636,0.6453109732623121,0.6071791432309724,1390.0
weighted avg,0.6232765308888288,0.6129496402877698,0.6107580348326532,1390.0
