Label,precision,recall,f1-score,support
A,0.7439024390243902,0.4178082191780822,0.5350877192982456,146.0
B,0.6539509536784741,0.6818181818181818,0.6675938803894298,352.0
C,0.6977099236641221,0.8117229129662522,0.7504105090311987,563.0
D,0.8041958041958042,0.6990881458966566,0.7479674796747967,329.0
accuracy,0.7107913669064748,0.7107913669064748,0.7107913669064748,0.7107913669064748
macro avg,0.7249397801406977,0.6526093649647932,0.6752648970984177,1390.0
weighted avg,0.7166846031623771,0.7107913669064748,0.7062433599368316,1390.0
