Class,Precision,Recall,F1-score,Support
A,0.464,0.76,0.577,146.0
B,0.535,0.477,0.505,352.0
C,0.682,0.56,0.615,563.0
D,0.688,0.784,0.733,329.0
Accuracy,0.613,0.613,0.613,1.0
Macro Avg,0.592,0.645,0.607,1390.0
Weighted Avg,0.623,0.613,0.611,1390.0
