Outcome,Rows_Used,MSE,R2,Intercept,race_exposure_coef,class_exposure_coef,occupation_exposure_coef,environment_exposure_coef
depression_prev,12161,21.83337103685172,0.02735780751391259,21.522884535512524,-0.6824237736251108,-0.11051907618948081,-0.2119395339116446,0.36169974744564115
diabetes_prev,12161,25.99093321921433,0.02064583070282011,13.413040170558656,-0.009290019480288753,-0.5541169949989386,-0.2576907178069093,0.6342351218273932
obesity_prev,12161,82.28884705645889,0.055618132988515145,35.21674481483544,-1.3806223581575194,-1.1005984873829815,-0.8413388618898973,1.556332472464876
access2_prev,12161,48.88451717387897,0.025036101790818055,11.286796702269335,0.4898707409799436,-0.5722044970247241,0.055672128128941324,0.9770045679187723
