Class,Precision,Recall,F1-score,Support
A,0.523,0.712,0.603,146.0
B,0.62,0.585,0.602,352.0
C,0.773,0.661,0.713,563.0
D,0.73,0.839,0.781,329.0
Macro Avg,0.662,0.699,0.675,1390.0
Weighted Avg,0.698,0.689,0.689,1390.0
