Class,Precision,Recall,F1-score,Support
A,0.744,0.418,0.535,146.0
B,0.654,0.682,0.668,352.0
C,0.698,0.812,0.75,563.0
D,0.804,0.699,0.748,329.0
Accuracy,0.711,0.711,0.711,1.0
Macro Avg,0.725,0.653,0.675,1390.0
Weighted Avg,0.717,0.711,0.706,1390.0
