Label,precision,recall,f1-score,support
A,0.6730769230769231,0.4794520547945205,0.56,146.0
B,0.6510263929618768,0.6306818181818182,0.6406926406926406,352.0
C,0.704225352112676,0.7992895204262878,0.7487520798668885,563.0
D,0.7941176470588235,0.7386018237082067,0.7653543307086614,329.0
accuracy,0.7086330935251799,0.7086330935251799,0.7086330935251799,0.7086330935251799
macro avg,0.7056115788025749,0.6620063042777083,0.6786997628170477,1390.0
weighted avg,0.7087583454774108,0.7086330935251799,0.7054912268287894,1390.0
